Nome;UF;Partido;Fim do Mandato;Candidatura 2026;
Alan Rick;AC;REPUBLICANOS;2031;Governador;
Marcio Bittar;AC;PL;2027;Reeleição ao Senado;
Sérgio Petecão;AC;PSD;2027;Reeleição ao Senado;
Dra. Eudócia;AL;PSDB;2027;Candidato a 1º suplente;Titular Marina JHC
Renan Calheiros;AL;MDB;2027;Reeleição ao Senado;
Renan Filho;AL;MDB;2031;Governador;
Eduardo Braga;AM;MDB;2027;Reeleição ao Senado;
Omar Aziz;AM;PSD;2031;Governador;
Plínio Valério;AM;PSDB;2027;Reeleição ao Senado;
Davi Alcolumbre;AP;UNIÃO;2031;Não vai concorrer;
Lucas Barreto;AP;PSD;2027;Reeleição ao Senado;
Randolfe Rodrigues;AP;PT;2027;Reeleição ao Senado;
Angelo Coronel;BA;REPUBLICANOS;2027;Reeleição ao Senado;
Jaques Wagner;BA;PT;2027;Reeleição ao Senado;
Otto Alencar;BA;PSD;2031;Não vai concorrer;
Camilo Santana;CE;PT;2031;Não vai concorrer;
Cid Gomes;CE;PSB;2027;Reeleição ao Senado;
Eduardo Girão;CE;NOVO;2027;Vice-Presidente;
Damares Alves;DF;REPUBLICANOS;2031;Não vai concorrer;
Izalci Lucas;DF;PL;2027;Deputado Federal;
Leila Barros;DF;PDT;2027;Reeleição ao Senado;
Fabiano Contarato;ES;PT;2027;Reeleição ao Senado;
Magno Malta;ES;PL;2031;Não vai concorrer;
Marcos do Val;ES;AVANTE;2027;Reeleição ao Senado;
Jorge Kajuru;GO;PSB;2027;Não vai concorrer;
Vanderlan Cardoso;GO;PSD;2027;Reeleição ao Senado;
Wilder Morais;GO;PL;2031;Governador;
Ana Paula Lobato;MA;PSB;2031;Não vai concorrer;
Eliziane Gama;MA;PSD;2027;Reeleição ao Senado;
Weverton;MA;PDT;2027;Reeleição ao Senado;
Carlos Viana;MG;PSD;2027;Reeleição ao Senado;
Cleitinho;MG;REPUBLICANOS;2031;Governador;
Rodrigo Pacheco;MG;PSB;2027;Não vai concorrer;
Nelsinho Trad;MS;PSD;2027;Candidato a 1º suplente;Titular Reinaldo Azambuja
Soraya Thronicke;MS;PSB;2027;Reeleição ao Senado;
Tereza Cristina;MS;PP;2031;Não vai concorrer;
Carlos Fávaro;MT;PSD;2027;Reeleição ao Senado;
Jayme Campos;MT;UNIÃO;2027;Não vai concorrer;
Wellington Fagundes;MT;PL;2031;Governador;
Beto Faro;PA;PT;2031;Não vai concorrer;
Jader Barbalho;PA;MDB;2027;Não vai concorrer;
Zequinha Marinho;PA;PODEMOS;2027;Reeleição ao Senado;
Daniella Ribeiro;PB;PP;2027;Candidato a 1º suplente;Titular Nabor
Efraim Filho;PB;PL;2031;Governador;
Veneziano Vital do Rêgo;PB;MDB;2027;Reeleição ao Senado;
Fernando Dueire;PE;PSD;2027;Não vai concorrer;
Humberto Costa;PE;PT;2027;Reeleição ao Senado;
Teresa Leitão;PE;PT;2031;Não vai concorrer;
Ciro Nogueira;PI;PP;2027;Reeleição ao Senado;
Marcelo Castro;PI;MDB;2027;Reeleição ao Senado;
Wellington Dias;PI;PT;2031;Não vai concorrer;
Flávio Arns;PR;PSB;2027;Não vai concorrer;
Oriovisto Guimarães;PR;PSDB;2027;Não vai concorrer;
Sergio Moro;PR;PL;2031;Governador;
Carlos Portinho;RJ;PL;2027;Reeleição ao Senado;
Flávio Bolsonaro;RJ;PL;2027;Presidente;
Romário;RJ;PL;2031;Não vai concorrer;
Rogerio Marinho;RN;PL;2031;Não vai concorrer;
Styvenson Valentim;RN;PODEMOS;2027;Reeleição ao Senado;
Zenaide Maia;RN;PSD;2027;Reeleição ao Senado;
Confúcio Moura;RO;MDB;2027;Não vai concorrer;
Jaime Bagattoli;RO;PL;2031;Não vai concorrer;
Marcos Rogério;RO;PL;2027;Governador;
Chico Rodrigues;RR;PSB;2027;Reeleição ao Senado;
Dr. Hiran;RR;PP;2031;Não vai concorrer;
Roberta Acioly;RR;REPUBLICANOS;2027;Deputado Federal;
Hamilton Mourão;RS;REPUBLICANOS;2031;Não vai concorrer;
Luis Carlos Heinze;RS;PP;2027;Não vai concorrer;
Paulo Paim;RS;PT;2027;Não vai concorrer;
Esperidião Amin;SC;PP;2027;Reeleição ao Senado;
Ivete da Silveira;SC;MDB;2027;Não vai concorrer;
Jorge Seif;SC;PL;2031;Não vai concorrer;
Alessandro Vieira;SE;MDB;2027;Reeleição ao Senado;
Laércio Oliveira;SE;PP;2031;Não vai concorrer;
Rogério Carvalho;SE;PT;2027;Reeleição ao Senado;
Astronauta Marcos Pontes;SP;PL;2031;Não vai concorrer;
Giordano;SP;PODEMOS;2027;Não vai concorrer;
Mara Gabrilli;SP;PSD;2027;Deputada Estadual;
Eduardo Gomes;TO;PL;2027;Reeleição ao Senado;
Irajá;TO;PSD;2027;Não vai concorrer;
Professora Dorinha Seabra;TO;UNIÃO;2031;Governador;
