CodigoParlamentar,CodigoPublicoNaLegAtual,NomeParlamentar,NomeCompletoParlamentar,SexoParlamentar,FormaTratamento,UrlFotoParlamentar,UrlPaginaParlamentar,EmailParlamentar,SiglaPartidoParlamentar,UfParlamentar,DescricaoParticipacao,NumeroLegislatura_2,DataInicio_2,DataFim_2,CodigoParlamentar_Titular,NomeParlamentar_Titular,AssumiuDefinitivamente,TipoSaidaTitular,EmExercicio,CodigoParlamentar_Suplente,NomeParlamentar_Suplente
5672,800,Alan Rick,Alan Rick Miranda,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5672.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5672,sen.alanrick@senado.leg.br,REPUBLICANOS,AC,Titular,58,2027-02-01,2031-01-31,,,,,True,,
5982,829,Alessandro Vieira,Alessandro Vieira,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5982.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5982,sen.alessandrovieira@senado.leg.br,MDB,SE,Titular,57,2023-02-01,2027-01-31,,,,,True,,
6358,920,Ana Paula Lobato,Ana Paula Dias Lobato Nova Alves,Feminino,Senadora,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6358.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6358,sen.anapaulalobato@senado.leg.br,PSB,MA,1º Suplente,58,2027-02-01,2031-01-31,4605,Flávio Dino,Sim,Renúncia,True,,
5967,832,Angelo Coronel,Angelo Mario Coronel de Azevedo Martins,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5967.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5967,sen.angelocoronel@senado.leg.br,REPUBLICANOS,BA,Titular,57,2023-02-01,2027-01-31,,,,,True,,
6009,902,Astronauta Marcos Pontes,Marcos Cesar Pontes,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6009.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6009,sen.astronautamarcospontes@senado.leg.br,PL,SP,Titular,58,2027-02-01,2031-01-31,,,,,True,,
4639,877,Beto Faro,José Roberto Oliveira Faro,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4639.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4639,sen.betofaro@senado.leg.br,PT,PA,Titular,58,2027-02-01,2031-01-31,,,,,True,,
6336,805,Camilo Santana,Camilo Sobreira de Santana,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6336.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6336,sen.camilosantana@senado.leg.br,PT,CE,Titular,58,2027-02-01,2031-01-31,,,,,True,,
6295,945,Carlos Fávaro,Carlos Henrique Baqueta Fávaro,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6295.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6295,sen.carlosfavaro@senado.leg.br,PSD,MT,Titular,57,2023-02-01,2027-01-31,,,,,True,,
5936,949,Carlos Portinho,Carlos Francisco Portinho,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5936.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5936,sen.carlosportinho@senado.leg.br,PL,RJ,1º Suplente,57,2023-02-01,2027-01-31,751,Arolde de Oliveira,Sim,Falecimento,True,,
5990,843,Carlos Viana,Carlos Alberto Dias Viana,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5990.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5990,sen.carlosviana@senado.leg.br,PSD,MG,Titular,57,2023-02-01,2027-01-31,,,,,True,,
470,815,Chico Rodrigues,Francisco de Assis Rodrigues,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador470.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/470,sen.chicorodrigues@senado.leg.br,PSB,RR,Titular,57,2023-02-01,2027-01-31,,,,,True,,
5973,825,Cid Gomes,Cid Ferreira Gomes,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5973.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5973,sen.cidgomes@senado.leg.br,PSB,CE,Titular,57,2023-02-01,2027-01-31,,,,,True,,
739,811,Ciro Nogueira,Ciro Nogueira Lima Filho,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador739.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/739,sen.cironogueira@senado.leg.br,PP,PI,Titular,57,2023-02-01,2027-01-31,,,,,True,,
6337,873,Cleitinho,Cleiton Gontijo de Azevedo,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6337.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6337,sen.cleitinho@senado.leg.br,REPUBLICANOS,MG,Titular,58,2027-02-01,2031-01-31,,,,,True,,
475,867,Confúcio Moura,Confúcio Aires Moura,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador475.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/475,sen.confuciomoura@senado.leg.br,MDB,RO,Titular,57,2023-02-01,2027-01-31,,,,,True,,
6335,866,Damares Alves,Damares Regina Alves,Feminino,Senadora,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6335.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6335,sen.damaresalves@senado.leg.br,REPUBLICANOS,DF,Titular,58,2027-02-01,2031-01-31,,,,,True,,
5998,820,Daniella Ribeiro,Daniella Velloso Borges Ribeiro,Feminino,Senadora,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5998.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5998,sen.daniellaribeiro@senado.leg.br,PP,PB,Titular,57,2023-02-01,2027-01-31,,,,,True,,
3830,834,Davi Alcolumbre,David Samuel Alcolumbre Tobelem,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3830.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3830,sen.davialcolumbre@senado.leg.br,UNIÃO,AP,Titular,58,2027-02-01,2031-01-31,,,,,True,,
5793,893,Dr. Hiran,Hiran Manuel Gonçalves da Silva,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5793.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5793,sen.drhiran@senado.leg.br,PP,RR,Titular,58,2027-02-01,2031-01-31,,,,,True,,
5906,907,Dra. Eudócia,Eudocia Maria Holanda de Araujo Caldas,Feminino,Senadora,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5906.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5906,sen.draeudocia@senado.leg.br,PSDB,AL,1º Suplente,57,2023-02-01,2027-01-31,5905,Rodrigo Cunha,Sim,Renúncia,True,,
4994,802,Eduardo Braga,Carlos Eduardo de Souza Braga,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4994.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4994,sen.eduardobraga@senado.leg.br,MDB,AM,Titular,57,2023-02-01,2027-01-31,,,,,True,,
5976,826,Eduardo Girão,Luis Eduardo Grangeiro Girão,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5976.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5976,sen.eduardogirao@senado.leg.br,NOVO,CE,Titular,57,2023-02-01,2027-01-31,,,,,True,,
3777,872,Eduardo Gomes,Carlos Eduardo Torres Gomes,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3777.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3777,sen.eduardogomes@senado.leg.br,PL,TO,Titular,57,2023-02-01,2027-01-31,,,,,True,,
4642,878,Efraim Filho,Efraim de Araújo Morais Filho,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4642.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4642,sen.efraimfilho@senado.leg.br,PL,PB,Titular,58,2027-02-01,2031-01-31,,,,,True,,
5718,806,Eliziane Gama,Eliziane Pereira Gama Melo,Feminino,Senadora,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5718.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5718,sen.elizianegama@senado.leg.br,PSD,MA,Titular,57,2023-02-01,2027-01-31,,,,,True,,
22,882,Esperidião Amin,Esperidião Amin Helou Filho,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador22.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/22,sen.esperidiaoamin@senado.leg.br,PP,SC,Titular,57,2023-02-01,2027-01-31,,,,,True,,
5953,835,Fabiano Contarato,Fabiano Contarato,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5953.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5953,sen.fabianocontarato@senado.leg.br,PT,ES,Titular,57,2023-02-01,2027-01-31,,,,,True,,
5917,923,Fernando Dueire,Fernando Antonio Caminha Dueire,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5917.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5917,sen.fernandodueire@senado.leg.br,PSD,PE,1º Suplente,57,2023-02-01,2027-01-31,4545,Jarbas Vasconcelos,Sim,Renúncia,True,,
345,856,Flávio Arns,Flávio José Arns,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador345.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/345,sen.flavioarns@senado.leg.br,PSB,PR,Titular,57,2023-02-01,2027-01-31,,,,,True,,
5894,841,Flávio Bolsonaro,Flávio Nantes Bolsonaro,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5894.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5894,sen.flaviobolsonaro@senado.leg.br,PL,RJ,Titular,57,2023-02-01,2027-01-31,,,,,True,,
6008,935,Giordano,Alexandre Luiz Giordano,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6008.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6008,sen.giordano@senado.leg.br,PODEMOS,SP,1º Suplente,57,2023-02-01,2027-01-31,5666,Major Olimpio,Sim,Falecimento,True,,
6341,894,Hamilton Mourão,Antonio Hamilton Martins Mourão,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6341.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6341,sen.hamiltonmourao@senado.leg.br,REPUBLICANOS,RS,Titular,58,2027-02-01,2031-01-31,,,,,True,,
5008,824,Humberto Costa,Humberto Sérgio Costa Lima,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5008.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5008,sen.humbertocosta@senado.leg.br,PT,PE,Titular,57,2023-02-01,2027-01-31,,,,,True,,
5385,883,Irajá,Irajá Silvestre Filho,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5385.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5385,sen.iraja@senado.leg.br,PSD,TO,Titular,57,2023-02-01,2027-01-31,,,,,True,,
6010,914,Ivete da Silveira,Ivete Marli Appel da Silveira,Feminino,Senadora,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6010.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6010,sen.ivetedasilveira@senado.leg.br,MDB,SC,1º Suplente,57,2023-02-01,2027-01-31,5350,Jorginho Mello,Sim,Renúncia,True,,
4770,851,Izalci Lucas,Izalci Lucas Ferreira,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4770.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4770,sen.izalcilucas@senado.leg.br,PL,DF,Titular,57,2023-02-01,2027-01-31,,,,,True,,
35,932,Jader Barbalho,Jader Fontenelle Barbalho,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador35.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/35,sen.jaderbarbalho@senado.leg.br,MDB,PA,Titular,57,2023-02-01,2027-01-31,,,,,True,,
6340,891,Jaime Bagattoli,Jaime Maximino Bagattoli,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6340.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6340,sen.jaimebagattoli@senado.leg.br,PL,RO,Titular,58,2027-02-01,2031-01-31,,,,,True,,
581,833,Jaques Wagner,Jaques Wagner,Masculino,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador581.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/581,sen.jaqueswagner@senado.leg.br,PT,BA,Titular,57,2023-02-01,2027-01-31,,,,,True,,
